en,kin,phrase,categ,verified,prefs,prefpl,sanotek,sanopl,cumbi,modif,kinSing,kinPl,enSing,enPl,simplP,pastP,syn,context,situation,author,revised,updated
dry,umye,0,verbadj,0,,,n,n,umye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2499,0,1358571778
living room,uruganiriro :: uruganiriro,0,noun,0,u,u,ru,ru,ganiriro,,uruganiriro,uruganiriro,living room,living rooms,,,,,,2503,0,1358629322
plate,isahani :: amasahani,0,noun,0,i,a,n,ma,sahani,,isahani,amasahani,plate,plates,,,,,,2503,0,1358629432
street,umuhanda :: imihanda,0,noun,0,u,i,mu,mi,handa,,umuhanda,imihanda,street,streets,,,road,,,2503,0,1358629519
lift,guterura,0,verb,0,,,n,n,terura,teruye,NOT APPLICABLE,NOT APPLICABLE,,,lifted,lifted,,,,2503,0,1358629694
lift,kuzamura,0,verb,0,,,n,n,zamura,zamuye,NOT APPLICABLE,NOT APPLICABLE,,,lifted,lifted,,,,2503,0,1358629721
task,umurimo :: imirimo,0,noun,0,u,i,mu,mi,rimo,,umurimo,imirimo,task,tasks,,,,,,2503,0,1358630021
guard,umurinzi :: abarinzi,0,noun,0,u,a,mu,ba,rinzi,,umurinzi,abarinzi,guard,guards,,,,,,2503,0,1358630233
elbow,inkokora :: inkokora,0,noun,0,i,i,n,n,kokora,,inkokora,inkokora,elbow,elbows,,,,,,2503,0,1358630341
eyebrow,urutsike :: ibitsike,0,noun,0,u,i,ru,bi,tsike,,urutsike,ibitsike,eyebrow,eyebrows,,,,,,2503,0,1358630474
eyelash,urugohe :: ingohe,0,noun,0,u,i,ru,n,gohe,,urugohe,ingohe,eyelash,eyelashes,,,,,,2503,0,1358630558
citizen,umuturage :: abaturage,0,noun,0,u,a,mu,ba,turage,,umuturage,abaturage,citizen,citizens,,,,,,2503,0,1358630976
citizenship,ubwenegihugu :: ubwenegihugu,0,noun,0,u,u,bu,bu,enegihugu,,ubwenegihugu,ubwenegihugu,citizenship,citizenship,,,,,,2503,0,1358631058
state,leta,0,borrowed,0,,,n,n,leta,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358631142
states,leta,0,borrowed,0,,,n,n,leta,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358631167
infiltrate,gucengera,0,verb,0,,,n,n,cengera,cengeye,NOT APPLICABLE,NOT APPLICABLE,,,infiltrated,infiltrated,,,,2503,0,1358631290
army,igisirikare :: ibisirikare,0,noun,0,i,i,gi,bi,sirikare,,igisirikare,ibisirikare,army,armies,,,,,,2503,0,1358631446
gambling,gukina urusimbi,0,borrowed,0,,,n,n,gukina urusimbi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358631578
decade,igikinyacumi :: ibikinyacumi,0,noun,0,i,i,gi,bi,kinyacumi,,igikinyacumi,ibikinyacumi,decade,decades,,,,,,2503,0,1358631657
millenium,ikinyagihumbi :: ibinyagihumbi,0,noun,0,i,i,ki,bi,nyagihumbi,,ikinyagihumbi,ibinyagihumbi,millenium,millenia,,,,,,2503,0,1358631739
float,kureremba,0,verb,0,,,n,n,reremba,rerembye,NOT APPLICABLE,NOT APPLICABLE,,,floated,floated,,,,2503,0,1358631801
choice,amahitamo :: amahitamo,0,noun,0,a,a,ma,ma,hitamo,,amahitamo,amahitamo,choice,choices,,,,,,2503,0,1358631850
boast,kwiyemera,0,verb,0,,,n,n,iyemera,iyemeye,NOT APPLICABLE,NOT APPLICABLE,,,boasted,boasted,brag,,,2499,0,1358647268
physique,igihagararo :: ibihagararo,0,noun,0,i,i,gi,bi,hagararo,,igihagararo,ibihagararo,physique,physiques,,,body,,,2499,0,1358647377
shape,ubureme :: ubureme,0,noun,0,u,u,bu,bu,reme,,ubureme,ubureme,shape,shapes,,,,,,2499,0,1358647466
length,uburebure :: uburebure,0,noun,0,u,u,bu,bu,rebure,,uburebure,uburebure,length,lengths,,,,,,2499,0,1358647644
undercover,maneko,0,borrowed,0,,,n,n,maneko,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2499,0,1358704722
brazier,imbabura :: imbabura,0,noun,0,i,i,n,n,babura,,imbabura,imbabura,brazier,braziers,,,,,,2499,0,1358705835
interpret,gusemura,0,verb,0,,,n,n,semura,semuye,NOT APPLICABLE,NOT APPLICABLE,,,interpreted,interpreted,translate,,,2499,0,1358708793
laboratory,laboratwari,0,borrowed,0,,,n,n,laboratwari,,NOT APPLICABLE,NOT APPLICABLE,,,,,lab,,,2499,0,1358738029
adress,umwirondoro :: imyirondoro,0,noun,0,u,i,mu,mi,irondoro,,umwirondoro,imyirondoro,adress,adresses,,,identification,,,2499,0,1358738116
Hallelujah,Aleluya,0,borrowed,0,,,n,n,Aleluya,,NOT APPLICABLE,NOT APPLICABLE,,,,,Alleluia,,,2499,0,1358741144
amen,amina,0,borrowed,0,,,n,n,amina,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2499,0,1358741175
gift,impano :: impano,0,noun,0,i,i,n,n,hano,,impano,impano,gift,gifts,,,,,,2507,0,1358747208
racial,gendeye ku bwoko,0,verbadj,0,,,n,n,gendeye ku bwoko,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358747956
friendly,cy'ubushuti,0,adverb,0,,,n,n,cy'ubushuti,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358748465
reject,kujugunya,0,verb,0,,,n,n,jugunya,jugunye,NOT APPLICABLE,NOT APPLICABLE,,,rejected,rejected,discard,,,2507,0,1358749076
baptism,batisimu,0,borrowed,0,,,n,n,batisimu,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358749201
eucharist,Ukarisitiya,0,borrowed,0,,,n,n,Ukarisitiya,,NOT APPLICABLE,NOT APPLICABLE,,,,,Lord's supper,,,2507,0,1358749312
prefer,guhitamo,0,verb,0,,,n,n,hitamo,hisemo,NOT APPLICABLE,NOT APPLICABLE,,,preferred,preferred,choose,,,2507,0,1358749378
peaceful,uje amahoro,0,verbadj,0,,,n,n,uje amahoro,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358749425
thankful,uzuye amashimwe,0,verbadj,0,,,n,n,uzuye amashimwe,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358750076
constant,dahinduka,0,verbadj,0,,,n,n,dahinduka,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358750526
testimony,ubuhamya :: ubuhamya,0,noun,0,u,u,bu,bu,hamya,,ubuhamya,ubuhamya,testimony,testimonies,,,,,,2507,0,1358750896
everyday,buri munsi,0,adverb,0,,,n,n,buri munsi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2507,0,1358751281
overcome,gutsinda,0,verb,0,,,n,n,tsinda,tsinze,NOT APPLICABLE,NOT APPLICABLE,,,overcame,overcome,,,,2507,0,1358751375
ignore,kwirengagiza,0,verb,0,,,n,n,irengagiza,irengagije,NOT APPLICABLE,NOT APPLICABLE,,,ignored,ignored,,,,2507,0,1358752009
trowel,umwiko :: imyiko,0,noun,0,u,i,mu,mi,iko,,umwiko,imyiko,trowel,trowels,,,,,,2507,0,1358752379
padlock,ingufuri :: ingufuri,0,noun,0,i,i,n,n,gufuri,,ingufuri,ingufuri,padlock,padlocks,,,,,,2573,0,1358799885
ombudsman,umuvunyi :: abavunyi,0,noun,0,u,a,mu,ba,vunyi,,umuvunyi,abavunyi,ombudsman,ombudsmen,,,,,,2573,0,1358799969
personality,ubumuntu :: ubumuntu,0,noun,0,u,u,bu,bu,muntu,,ubumuntu,ubumuntu,personality,personalities,,,,,,2573,0,1358800020
medicine,ubuganga :: ubuganga,0,noun,0,u,u,bu,bu,ganga,,ubuganga,ubuganga,medicine,medicine,,,,,,2573,0,1358800082
albino,umunyamweru :: abanyamweru,0,noun,0,u,a,mu,ba,nyamweru,,umunyamweru,abanyamweru,albino,albinos,,,,,,2573,0,1358800169
albinism,ubunyamweru :: ubunyamweru,0,noun,0,u,u,bu,bu,nyamweru,,ubunyamweru,ubunyamweru,albinism,albinism,,,,,,2573,0,1358800213
chick,agashwi :: udushwi,0,noun,0,a,u,ga,du,shwi,,agashwi,udushwi,chick,chicks,,,,,,2573,0,1358800377
nun,umubikira :: ababikira,0,noun,0,u,a,mu,ba,bikira,,umubikira,ababikira,nun,nuns,,,,,,2573,0,1358800415
volunteer,umukoranabushake :: abakoranabushake,0,noun,0,u,a,mu,ba,koranabushake,,umukoranabushake,abakoranabushake,volunteer,volunteers,,,,,,2573,0,1358800472
injustice,ububogamyi :: ububogamyi,0,noun,0,u,u,bu,bu,bogamyi,,ububogamyi,ububogamyi,injustice,injustices,,,,,,2573,0,1358800717
loss,intsinzwi :: intsinzwi,0,noun,0,i,i,n,n,tsinzwi,,intsinzwi,intsinzwi,loss,losses,,,failure,,,2573,0,1358873452
party,ishyaka :: amashyaka,0,noun,0,i,a,ri,ma,shyaka,,ishyaka,amashyaka,party,parties,,,,,,2503,0,1358893345
party,ikirori :: ibirori,0,noun,0,i,i,ki,bi,rori,,ikirori,ibirori,party,parties,,,,,,2503,0,1358893448
politician,umunyapolitiki :: abanyapolitiki,0,noun,0,u,a,mu,ba,nyapolitiki,,umunyapolitiki,abanyapolitiki,politician,politicians,,,,,,2503,0,1358893678
kidnap,gushimuta,0,verb,0,,,n,n,shimuta,shimuse,NOT APPLICABLE,NOT APPLICABLE,,,kidnapped,kidnapped,,,,2503,0,1358894148
stairs,amadarage,0,borrowed,0,,,n,n,amadarage,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358894335
grades,amanota,0,borrowed,0,,,n,n,amanota,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358894443
clean,gusukura,0,verb,0,,,n,n,sukura,sukuye,NOT APPLICABLE,NOT APPLICABLE,,,cleaned,cleaned,,,,2503,0,1358894518
cleanse,gusukura,0,verb,0,,,n,n,sukura,sukuye,NOT APPLICABLE,NOT APPLICABLE,,,cleansed,cleansed,,,,2503,0,1358894581
injury,igikomere :: ibikomere,0,noun,0,i,i,gi,bi,komere,,igikomere,ibikomere,injury,injuries,,,,,,2503,0,1358894986
be injured,gukomereka,0,verb,0,,,n,n,komereka,komeretse,NOT APPLICABLE,NOT APPLICABLE,,,was injured,been injured,,,,2503,0,1358895085
lesson,isomo :: amasomo,0,noun,0,i,a,ri,ma,somo,,isomo,amasomo,lesson,lessons,,,,,,2503,0,1358895465
look,indoro :: indoro,0,noun,0,i,i,n,n,roro,,indoro,indoro,look,look,,,gaze,,,2503,0,1358895865
symptom,ikimenyetso :: ibimenyetso,0,noun,0,i,i,ki,bi,menyetso,,ikimenyetso,ibimenyetso,symptom,symptoms,,,,,,2503,0,1358895921
fight,kurwana,0,verb,0,,,n,n,rwana,rwanye,NOT APPLICABLE,NOT APPLICABLE,,,fought,fought,,,,2503,0,1358896001
behind,inyuma,0,adverb,0,,,n,n,inyuma,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358896081
behavior,imyitwarire,0,borrowed,0,,,n,n,imyitwarire,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358896189
reduce,kugabanya,0,verb,0,,,n,n,gabanya,gabanyije,NOT APPLICABLE,NOT APPLICABLE,,,reduced,reduced,,,,2503,0,1358896265
abandon,gutererana,0,verb,0,,,n,n,tererana,tereranye,NOT APPLICABLE,NOT APPLICABLE,,,abandoned,abandoned,,,,2503,0,1358896324
meeting,inama :: inama,0,noun,0,i,i,n,n,nama,,inama,inama,meeting,meetings,,,,,,2503,0,1358896452
fishing,kuroba,0,borrowed,0,,,n,n,kuroba,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1358896629
flaw,inenge :: inenge,0,noun,0,i,i,n,n,nenge,,inenge,inenge,flaw,flaws,,,,,,2503,0,1358896723
disclose,gushyira ahagaragara,0,verb,0,,,n,n,shyira ahagaragara,shyize ahagaragara,NOT APPLICABLE,NOT APPLICABLE,,,disclosed,disclosed,"reveal, expose, tell, unveil, uncover",,,2499,0,1358915129
theme,ingingo nyamukuru :: ingingo nyamukuru,0,noun,0,i,i,n,n,gingo nyamukuru,,ingingo nyamukuru,ingingo nyamukuru,theme,themes,,,,,,2499,0,1358915976
deposit,kubitsa,0,verb,0,,,n,n,bitsa,bikije,NOT APPLICABLE,NOT APPLICABLE,,,deposited,deposited,,,,2499,0,1358917899
Capital,umurwa :: imirwa,0,noun,0,u,i,mu,mi,rwa,,umurwa,imirwa,Capital,Capitals,,,,,,2499,0,1358917984
lease,gukodesha,0,verb,0,,,n,n,kodesha,kodesheje,NOT APPLICABLE,NOT APPLICABLE,,,leased,leased,rent,,,2499,0,1358918255
merchandise,ikigurishwa :: ibigurishwa,0,noun,0,i,i,ki,bi,gurishwa,,ikigurishwa,ibigurishwa,merchandise,merchandises,,,,,,2499,0,1358918397
liability,inshingano :: inshingano,0,noun,0,i,i,n,n,shingano,,inshingano,inshingano,liability,liabilities,,,"responsibility, duty, debt",,,2499,0,1358918649
liability,umwenda :: imyenda,0,noun,0,u,i,mu,mi,enda,,umwenda,imyenda,liability,liabilities,,,debts,,,2499,0,1358918692
equity,ubutabera :: ubutabera,0,noun,0,u,u,bu,bu,tabera,,ubutabera,ubutabera,equity,equities,,,"fairness, justice",,,2499,0,1358918814
fairness,ubutabera :: ubutabera,0,noun,0,u,u,bu,bu,tabera,,ubutabera,ubutabera,fairness,fairness,,,"justice, equity",,,2499,0,1358918899
asset,umutungo :: imitungo,0,noun,0,u,i,mu,mi,tungo,,umutungo,imitungo,asset,assets,,,"property, possession",,,2499,0,1358919711
possession,umutungo :: imitungo,0,noun,0,u,i,mu,mi,tungo,,umutungo,imitungo,possession,possessions,,,"asset, property",,,2499,0,1358919757
resource,umutungo :: imitungo,0,noun,0,u,i,mu,mi,tungo,,umutungo,imitungo,resource,resources,,,supply,,,2499,0,1358919965
match,guhuza,0,verb,0,,,n,n,huza,hujije,NOT APPLICABLE,NOT APPLICABLE,,,matched,matched,correspond,,,2499,0,1358920390
cycle,umuzenguruko :: imizenguruko,0,noun,0,u,i,mu,mi,zenguruko,,umuzenguruko,imizenguruko,cycle,cycles,,,"round, turn",,,2499,0,1358920670
elude,gucika,0,verb,0,,,n,n,cika,citse,NOT APPLICABLE,NOT APPLICABLE,,,eluded,eluded,escape,,,2499,0,1358923300
miscellaneous,nyuranye,0,verbadj,0,,,n,n,nyuranye,,NOT APPLICABLE,NOT APPLICABLE,,,,,diverse,,,2499,0,1358925994
inspection,igenzura :: amagenzura,0,noun,0,i,a,ri,ma,genzura,,igenzura,amagenzura,inspection,inspections,,,examination,,,2499,0,1359059745
inspect,kugenzura,0,verb,0,,,n,n,genzura,genzuye,NOT APPLICABLE,NOT APPLICABLE,,,inspected,inspected,examine,,,2499,0,1359059793
distract,kurangaza,0,verb,0,,,n,n,rangaza,rangaje,NOT APPLICABLE,NOT APPLICABLE,,,distracted,distracted,disturb,,,2499,0,1359062181
flow,gutemba,0,verb,0,,,n,n,temba,tembye,NOT APPLICABLE,NOT APPLICABLE,,,flowed,flowed,"run, spurt, ",,,2499,0,1359062494
flow,itemba :: amatemba,0,noun,0,i,a,ri,ma,temba,,itemba,amatemba,flow,flows,,,"current, run",,,2499,0,1359062544
ash,ivu :: ivu,0,noun,0,i,i,ri,ri,vu,,ivu,ivu,ash,ashes,,,,,,2504,0,1359066571
smart,umunyabwenge :: abanyabwenge,0,noun,0,u,a,mu,ba,nyabwenge,,umunyabwenge,abanyabwenge,smart,smart,,,,,,217,0,1359175664
assist,gufasha,0,verb,0,,,n,n,fasha,fashije,NOT APPLICABLE,NOT APPLICABLE,,,assisted,assisted,help,,,2499,0,1359182256
underworld,ikuzimu :: ikuzimu,0,noun,0,i,i,ha,ha,kuzimu,,ikuzimu,ikuzimu,underworld,underworlds,,,hell,,,2499,0,1359068157
advice,inama :: inama,0,noun,0,i,i,n,n,nama,,inama,inama,advice,advice,,,,,,2499,0,1359068295
courage,ibakwe :: ibakwe,0,noun,0,i,i,ri,ri,bakwe,,ibakwe,ibakwe,courage,courages,,,"yearning, longing",,,2499,0,1359069425
patience,ukwihangana :: ukwihangana,0,noun,0,u,u,ku,ku,ihangana,,ukwihangana,ukwihangana,patience,patience,,,,,,2499,0,1359069517
impatience,ubwira :: ubwira,0,noun,0,u,u,bu,bu,ira,,ubwira,ubwira,impatience,impatience,,,,,,2499,0,1359069618
calm,tuje,0,verbadj,0,,,n,n,tuje,,NOT APPLICABLE,NOT APPLICABLE,,,,,quiet,,,2499,0,1359069664
tranquil,tuje,0,verbadj,0,,,n,n,tuje,,NOT APPLICABLE,NOT APPLICABLE,,,,,"calm, peaceful",,,2499,0,1359069902
sharesholder,umunyamigabane :: abanyamigabane,0,noun,0,u,a,mu,ba,nyamigabane,,umunyamigabane,abanyamigabane,sharesholder,shareholders,,,,,,2499,0,1359070715
entity,ikintu :: ibintu,0,noun,0,i,i,ki,bi,ntu,,ikintu,ibintu,entity,entities,,,"element, thing",,,2499,0,1359070813
wise,umuhanga :: abahanga,0,noun,0,u,a,mu,ba,hanga,,umuhanga,abahanga,wise,wise,,,,,,217,0,1359175567
decompose,gushwanyagurika,0,verb,0,,,n,n,shwanyagurika,shwanyaguritse,NOT APPLICABLE,NOT APPLICABLE,,,decomposed,decomposed,"separate, destroy",,,2499,0,1359182575
prior,mbere,0,adverb,0,,,n,n,mbere,,NOT APPLICABLE,NOT APPLICABLE,,,,,before,,,2499,0,1359182684
emission,iyoherezwa :: iyoherezwa,0,noun,0,i,i,ri,ri,yoherezwa,,iyoherezwa,iyoherezwa,emission,emissions,,,submission,,,2499,0,1359182861
procedure,uburyo :: uburyo,0,noun,0,u,u,bu,bu,ryo,,uburyo,uburyo,procedure,procedures,,,"method, process",,,2499,0,1359182976
safeguard,kubungabunga,0,verb,0,,,n,n,bungabunga,bungabunze,NOT APPLICABLE,NOT APPLICABLE,,,safeguarded,safeguarded,"guard, defend, protect, shield",,,2499,0,1359183328
decomposition,ishwanguka :: ishwanguka,0,noun,0,i,i,ri,ri,shwanguka,,ishwanguka,ishwanguka,decomposition,decomposition,,,decay,,,2499,0,1359183513
efficient,ngirakamaro,0,borrowed,0,,,n,n,ngirakamaro,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2499,0,1359183688
volume,ubunini :: ubunini,0,noun,0,u,u,bu,bu,nini,,ubunini,ubunini,volume,volumes,,,,,,2499,0,1359183780
analysis,isesengura :: amasesengura,0,noun,0,i,a,ri,ma,sesengura,,isesengura,amasesengura,analysis,analyses,,,study,,,2499,0,1359183862
confidence,icyizere :: ibyizere,0,noun,0,i,i,ki,bi,izere,,icyizere,ibyizere,confidence,confidences,,,,,,2499,0,1359184153
production,umusaruro :: imisaruro,0,noun,0,u,i,mu,mi,saruro,,umusaruro,imisaruro,production,production,,,"product, yield, result",,,2499,0,1359184994
technique,uburyo :: uburyo,0,noun,0,u,u,bu,bu,ryo,,uburyo,uburyo,technique,techniques,,,"method, skill",,,2499,0,1359184413
introduction,itangirito :: amatangirito,0,noun,0,i,a,ri,ma,tangirito,,itangirito,amatangirito,introduction,introductions,,,,,,2499,0,1359184518
reproduction,imyororokere :: imyororokere,0,noun,0,i,i,mi,mi,ororokere,,imyororokere,imyororokere,reproduction,reproductions,,,multiplication,,,2499,0,1359185074
ancestry,igisekuru :: ibisekuru,0,noun,0,i,i,gi,bi,sekuru,,igisekuru,ibisekuru,ancestry,ancestries,,,,,,2503,0,1359493442
potter,umubumbyi :: ababumbyi,0,noun,0,u,a,mu,ba,bumbyi,,umubumbyi,ababumbyi,potter,potters,,,,,,2503,0,1359493559
fist,igipfunsi :: ibipfunsi,0,noun,0,i,i,gi,bi,pfunsi,,igipfunsi,ibipfunsi,fist,fists,,,,,,2503,0,1359493613
hide,kwihisha,0,verb,0,gu,,n,n,ihisha,ihishe,NOT APPLICABLE,NOT APPLICABLE,,,hid,hidden,,,,2503,0,1359493859
share,gusangira,0,verb,0,,,n,n,sangira,sangiye,NOT APPLICABLE,NOT APPLICABLE,,,shared,shared,,,,2503,0,1359493911
swimming pool,pisine,0,borrowed,0,,,n,n,pisine,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359494072
famine,amapfa :: amapfa,0,noun,0,a,a,ma,ma,pfa,,amapfa,amapfa,famine,famines,,,,,,2503,0,1359494361
vision,icyerekezo,0,borrowed,0,,,n,n,icyerekezo,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359494643
movie,filimi,0,borrowed,0,,,n,n,filimi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359494712
movies,amafilimi,0,borrowed,0,,,n,n,amafilimi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359494727
worthy,kwiriye,0,verbadj,0,,,n,n,kwiriye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359494781
staff,abakozi,0,borrowed,0,,,n,n,abakozi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359494922
ban,guca,0,verb,0,,,n,n,ca,ciye,NOT APPLICABLE,NOT APPLICABLE,,,banned,banned,,,,2503,0,1359494992
haircut,inyogosho :: inyogosho,0,noun,0,i,i,n,n,nyogosho,,inyogosho,inyogosho,haircut,haircuts,,,,,,2503,0,1359495501
coma,koma,0,borrowed,0,,,n,n,koma,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359495650
firm,ikigo :: ibigo,0,noun,0,i,i,ki,bi,go,,ikigo,ibigo,firm,firms,,,,,,2503,0,1359495759
report,icyegeranyo :: ibyegeranyo,0,noun,0,i,i,ki,bi,egeranyo,,icyegeranyo,ibyegeranyo,report,reports,,,,,,2503,0,1359495903
willingness,ubushake,0,borrowed,0,,,n,n,ubushake,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359496060
will,ugushaka,0,borrowed,0,,,n,n,ugushaka,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359496088
greed,irari :: amarari,0,noun,0,i,a,ri,ma,rari,,irari,amarari,greed,greed,,,,,,2503,0,1359496301
constitution,itegeko nshinga,0,borrowed,0,,,n,n,itegeko nshinga,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359496519
phase,icyikiciro :: ibyikiciro,0,noun,0,i,i,ki,bi,ikiciro,,icyikiciro,ibyikiciro,phase,phases,,,,,,2503,0,1359496803
independent,igenga,0,verbadj,0,,,n,n,igenga,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359496974
united,unze ubumwe,0,verbadj,0,,,n,n,unze ubumwe,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359497028
laborer,umukozi :: abakozi,0,noun,0,u,a,mu,ba,kozi,,umukozi,abakozi,laborer,laborers,,,,,,2503,0,1359497385
raise,kurera,0,verb,0,,,n,n,rera,reze,NOT APPLICABLE,NOT APPLICABLE,,,raised,raised,,,,2503,0,1359497795
health,ubuzima :: ubuzima,0,noun,0,u,u,bu,bu,zima,,ubuzima,ubuzima,health,health,,,,,,2503,0,1359497965
grade,gukosora,0,verb,0,,,n,n,kosora,kosoye,NOT APPLICABLE,NOT APPLICABLE,,,graded,graded,,,,2503,0,1359498157
riches,ubukungu,0,borrowed,0,,,n,n,ubukungu,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359498664
brotherhood,ubuvandimwe :: ubuvandimwe,0,noun,0,u,u,bu,bu,vandimwe,,ubuvandimwe,ubuvandimwe,brotherhood,brotherhood,,,,,,2503,0,1359498825
fatal,ica,0,verbadj,0,,,n,n,ica,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359498918
hatred,urwango,0,borrowed,0,u,,n,n,urwango,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359499222
pollute,kwanduza,0,verb,0,,,n,n,anduza,anduje,NOT APPLICABLE,NOT APPLICABLE,,,polluted,polluted,,,,2503,0,1359499373
drip,gutonyanga,0,verb,0,,,n,n,tonyanga,tonyanze,NOT APPLICABLE,NOT APPLICABLE,,,dripped,dripped,,,,2503,0,1359499729
contract,amasezerano :: amasezerano,0,noun,0,a,a,ma,ma,sezerano,,amasezerano,amasezerano,contract,contracts,,,,,,2503,0,1359499908
nunnery,ikibikira,0,borrowed,0,,,n,n,ikibikira,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359500030
open,funguye,0,verbadj,0,,,n,n,funguye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359914872
shut,funze,0,verbadj,0,,,n,n,funze,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359914904
shining,rabagirana,0,verbadj,0,,,n,n,rabagirana,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359915013
burn,ubushye :: ubushye,0,noun,0,u,u,bu,bu,shye,,ubushye,ubushye,burn,burns,,,,,,2503,0,1359915244
investigate,guperereza,0,verb,0,,,n,n,perereza,perereje,NOT APPLICABLE,NOT APPLICABLE,,,investigated,investigated,,,,2503,0,1359915508
foreigner,umunyamahanga :: abanyamahanga,0,noun,0,u,a,mu,ba,nyamahanga,,umunyamahanga,abanyamahanga,foreigner,foreigners,,,,,,2503,0,1359915593
hideout,ubwihisho :: ubwihisho,0,noun,0,u,u,bu,bu,ihisho,,ubwihisho,ubwihisho,hideout,hideouts,,,,,,2503,0,1359915790
mustache,uburwana :: uburwana,0,noun,0,u,u,bu,bu,rwana,,uburwana,uburwana,mustache,mustaches,,,,,,2503,0,1359916118
dress,kwambara,0,verb,0,,,n,n,ambara,ambaye,NOT APPLICABLE,NOT APPLICABLE,,,dressed,dressed,,,,2503,0,1359916311
undress,kwiyambura,0,verb,0,,,n,n,iyambura,iyambuye,NOT APPLICABLE,NOT APPLICABLE,,,undressed,undressed,,,,2503,0,1359916377
dressing room,urwambariro,0,borrowed,0,,,n,n,urwambariro,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359916404
fragrance,umuhumuro :: imihumuro,0,noun,0,u,i,mu,mi,humuro,,umuhumuro,imihumuro,fragrance,fragrances,,,,,,2503,0,1359916532
sometimes,rimwe na rimwe,0,adverb,0,,,n,n,rimwe na rimwe,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359916614
amazing,tangaje,0,verbadj,0,,,n,n,tangaje,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359916661
shy,gira isoni,0,verbadj,0,,,n,n,gira isoni,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359916862
demonstration,imyigaragambyo :: imyigaragambyo,0,noun,0,i,i,mi,mi,igaragambyo,,imyigaragambyo,imyigaragambyo,demonstration,demonstrations,,,,,,2503,0,1359917062
occasionally,rimwe na rimwe,0,adverb,0,,,n,n,rimwe na rimwe,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359917478
weather forecast,iteganyagihe,0,borrowed,0,,,n,n,iteganyagihe,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359917585
magnet,rukuruzi,0,borrowed,0,,,n,n,rukuruzi,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1359917626
sauna,sawuna,0,borrowed,0,,,n,n,sawuna,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,2503,0,1360530004
feel guilty,kwishinja,0,verb,0,,,n,n,ishinja,ishinje,NOT APPLICABLE,NOT APPLICABLE,,,felt guilty,felt guilty,,,,2503,0,1360530118
